car,model,base price of car,type,category,sub category,fuel type,multi allowed,description,price,car image,currently selected,image,swatch image,is recommended,option_id,material
Range Rover,Standard Wheelbase - Range Rover,$0,exterior,colors,Ionian Silver in Gloss finish,,,,$0,https://res.cloudinary.com/dsmkxcczo/image/upload/v1773266640/landrover/exterior_colors/Ionian_Silver_in_Gloss_finish_20260311_220358_994958.png,,https://res.cloudinary.com/dsmkxcczo/image/upload/v1773266640/landrover/exterior_colors/Ionian_Silver_in_Gloss_finish_20260311_220358_994958.png,https://res.cloudinary.com/dsmkxcczo/image/upload/v1773266640/landrover/exterior_colors/Ionian_Silver_in_Gloss_finish_20260311_220358_994958.png,,,
Range Rover,Standard Wheelbase - Range Rover,$0,exterior,colors,Sunset Gold in Gloss finish,,,,$0,https://res.cloudinary.com/dsmkxcczo/image/upload/v1773266671/landrover/exterior_colors/Sunset_Gold_in_Gloss_finish_20260311_220430_172612.png,,https://res.cloudinary.com/dsmkxcczo/image/upload/v1773266671/landrover/exterior_colors/Sunset_Gold_in_Gloss_finish_20260311_220430_172612.png,https://res.cloudinary.com/dsmkxcczo/image/upload/v1773266671/landrover/exterior_colors/Sunset_Gold_in_Gloss_finish_20260311_220430_172612.png,,,
Range Rover,Standard Wheelbase - Range Rover,$0,exterior,colors,Amethyst Grey Purple in Gloss finish,,,,$0,https://res.cloudinary.com/dsmkxcczo/image/upload/v1773266706/landrover/exterior_colors/Amethyst_Grey_Purple_in_Gloss_finish_20260311_220505_728714.png,,https://res.cloudinary.com/dsmkxcczo/image/upload/v1773266706/landrover/exterior_colors/Amethyst_Grey_Purple_in_Gloss_finish_20260311_220505_728714.png,https://res.cloudinary.com/dsmkxcczo/image/upload/v1773266706/landrover/exterior_colors/Amethyst_Grey_Purple_in_Gloss_finish_20260311_220505_728714.png,,,
Range Rover,Standard Wheelbase - Range Rover,$0,exterior,colors,Petrolix Blue in Gloss finish,,,,$0,https://res.cloudinary.com/dsmkxcczo/image/upload/v1773266737/landrover/exterior_colors/Petrolix_Blue_in_Gloss_finish_20260311_220536_826821.png,,https://res.cloudinary.com/dsmkxcczo/image/upload/v1773266737/landrover/exterior_colors/Petrolix_Blue_in_Gloss_finish_20260311_220536_826821.png,https://res.cloudinary.com/dsmkxcczo/image/upload/v1773266737/landrover/exterior_colors/Petrolix_Blue_in_Gloss_finish_20260311_220536_826821.png,,,
Range Rover,Standard Wheelbase - Range Rover,$0,exterior,colors,Tourmaline Brown in Gloss finish,,,,$0,https://res.cloudinary.com/dsmkxcczo/image/upload/v1773266769/landrover/exterior_colors/Tourmaline_Brown_in_Gloss_finish_20260311_220608_503327.png,,https://res.cloudinary.com/dsmkxcczo/image/upload/v1773266769/landrover/exterior_colors/Tourmaline_Brown_in_Gloss_finish_20260311_220608_503327.png,https://res.cloudinary.com/dsmkxcczo/image/upload/v1773266769/landrover/exterior_colors/Tourmaline_Brown_in_Gloss_finish_20260311_220608_503327.png,,,
Range Rover,Standard Wheelbase - Range Rover,$0,exterior,colors,Obsidian Black in Gloss finish,,,,$0,https://res.cloudinary.com/dsmkxcczo/image/upload/v1773266803/landrover/exterior_colors/Obsidian_Black_in_Gloss_finish_20260311_220642_525920.png,,https://res.cloudinary.com/dsmkxcczo/image/upload/v1773266803/landrover/exterior_colors/Obsidian_Black_in_Gloss_finish_20260311_220642_525920.png,https://res.cloudinary.com/dsmkxcczo/image/upload/v1773266803/landrover/exterior_colors/Obsidian_Black_in_Gloss_finish_20260311_220642_525920.png,,,
Range Rover,Standard Wheelbase - Range Rover,$0,exterior,colors,Constellation Blue in Gloss finish,,,,$0,https://res.cloudinary.com/dsmkxcczo/image/upload/v1773266836/landrover/exterior_colors/Constellation_Blue_in_Gloss_finish_20260311_220715_950229.png,,https://res.cloudinary.com/dsmkxcczo/image/upload/v1773266836/landrover/exterior_colors/Constellation_Blue_in_Gloss_finish_20260311_220715_950229.png,https://res.cloudinary.com/dsmkxcczo/image/upload/v1773266836/landrover/exterior_colors/Constellation_Blue_in_Gloss_finish_20260311_220715_950229.png,,,
Range Rover,Standard Wheelbase - Range Rover,$0,exterior,colors,Flux Silver in Gloss finish,,,,$0,https://res.cloudinary.com/dsmkxcczo/image/upload/v1773266871/landrover/exterior_colors/Flux_Silver_in_Gloss_finish_20260311_220750_668024.png,,https://res.cloudinary.com/dsmkxcczo/image/upload/v1773266871/landrover/exterior_colors/Flux_Silver_in_Gloss_finish_20260311_220750_668024.png,https://res.cloudinary.com/dsmkxcczo/image/upload/v1773266871/landrover/exterior_colors/Flux_Silver_in_Gloss_finish_20260311_220750_668024.png,,,
Range Rover,Standard Wheelbase - Range Rover,$0,exterior,colors,Icy White in Gloss finish,,,,$0,https://res.cloudinary.com/dsmkxcczo/image/upload/v1773266902/landrover/exterior_colors/Icy_White_in_Gloss_finish_20260311_220821_675869.png,,https://res.cloudinary.com/dsmkxcczo/image/upload/v1773266902/landrover/exterior_colors/Icy_White_in_Gloss_finish_20260311_220821_675869.png,https://res.cloudinary.com/dsmkxcczo/image/upload/v1773266902/landrover/exterior_colors/Icy_White_in_Gloss_finish_20260311_220821_675869.png,,,
Range Rover,Standard Wheelbase - Range Rover,$0,exterior,colors,British Racing Green in Satin finish,,,,$0,https://res.cloudinary.com/dsmkxcczo/image/upload/v1773266934/landrover/exterior_colors/British_Racing_Green_in_Satin_finish_20260311_220853_146722.png,,https://res.cloudinary.com/dsmkxcczo/image/upload/v1773266934/landrover/exterior_colors/British_Racing_Green_in_Satin_finish_20260311_220853_146722.png,https://res.cloudinary.com/dsmkxcczo/image/upload/v1773266934/landrover/exterior_colors/British_Racing_Green_in_Satin_finish_20260311_220853_146722.png,,,
Range Rover,Standard Wheelbase - Range Rover,$0,exterior,colors,Flux Silver in Satin finish,,,,$0,https://res.cloudinary.com/dsmkxcczo/image/upload/v1773266966/landrover/exterior_colors/Flux_Silver_in_Satin_finish_20260311_220925_523947.png,,https://res.cloudinary.com/dsmkxcczo/image/upload/v1773266966/landrover/exterior_colors/Flux_Silver_in_Satin_finish_20260311_220925_523947.png,https://res.cloudinary.com/dsmkxcczo/image/upload/v1773266966/landrover/exterior_colors/Flux_Silver_in_Satin_finish_20260311_220925_523947.png,,,
Range Rover,Standard Wheelbase - Range Rover,$0,exterior,colors,Velocity Blue in Satin finish,,,,$0,https://res.cloudinary.com/dsmkxcczo/image/upload/v1773266998/landrover/exterior_colors/Velocity_Blue_in_Satin_finish_20260311_220957_675110.png,,https://res.cloudinary.com/dsmkxcczo/image/upload/v1773266998/landrover/exterior_colors/Velocity_Blue_in_Satin_finish_20260311_220957_675110.png,https://res.cloudinary.com/dsmkxcczo/image/upload/v1773266998/landrover/exterior_colors/Velocity_Blue_in_Satin_finish_20260311_220957_675110.png,,,
Range Rover,Standard Wheelbase - Range Rover,$0,exterior,colors,Ethereal Frost Silver in Satin finish,,,,$0,https://res.cloudinary.com/dsmkxcczo/image/upload/v1773267029/landrover/exterior_colors/Ethereal_Frost_Silver_in_Satin_finish_20260311_221028_082509.png,,https://res.cloudinary.com/dsmkxcczo/image/upload/v1773267029/landrover/exterior_colors/Ethereal_Frost_Silver_in_Satin_finish_20260311_221028_082509.png,https://res.cloudinary.com/dsmkxcczo/image/upload/v1773267029/landrover/exterior_colors/Ethereal_Frost_Silver_in_Satin_finish_20260311_221028_082509.png,,,
