Car,Model,base price of car,Type,Category,Sub Category,Multi Allowed,Description,Image,Price,Swatch Image,Product Image,Currently Selected,Currently Enabled
GTS,GTS,null,Exterior Color,Exterior Color,Elite - Mantis Green,No,Group 3,https://res.cloudinary.com/dsmkxcczo/image/upload/v1767852633/mclaren_cars/pjpik3yn4jkxgxlgfzxu.jpg,0,https://configurator-cdn.mclaren.com/mal-config-common/P22/paints/paint_pc0137-40.png?sr=c&si=public&sig=Ta23Sl1xB46bHEq%2BBll%2BUj5a96Sx%2Fg0OV1sddWXj6TM%3D,,No,
GTS,GTS,null,Exterior Color,Exterior Color,Elite - Namaka Blue,No,Group 3,https://res.cloudinary.com/dsmkxcczo/image/upload/v1767852642/mclaren_cars/pktntyfhsq70sawsb49z.jpg,0,https://configurator-cdn.mclaren.com/mal-config-common/P22/paints/paint_ec0052e-40.png?sr=c&si=public&sig=Ta23Sl1xB46bHEq%2BBll%2BUj5a96Sx%2Fg0OV1sddWXj6TM%3D,,No,
GTS,GTS,null,Exterior Color,Exterior Color,Elite - Saros,No,Group 3,https://res.cloudinary.com/dsmkxcczo/image/upload/v1767852650/mclaren_cars/mjscan83mzn3seecs4b7.jpg,0,https://configurator-cdn.mclaren.com/mal-config-common/P22/paints/paint_ec0024e-40.png?sr=c&si=public&sig=Ta23Sl1xB46bHEq%2BBll%2BUj5a96Sx%2Fg0OV1sddWXj6TM%3D,,No,
GTS,GTS,null,Exterior Color,Exterior Color,Elite - Serpentine,No,Group 3,https://res.cloudinary.com/dsmkxcczo/image/upload/v1767852659/mclaren_cars/bk2nqhysgnxgtbjwswtq.jpg,0,https://configurator-cdn.mclaren.com/mal-config-common/P22/paints/paint_ec0046e-40.png?sr=c&si=public&sig=Ta23Sl1xB46bHEq%2BBll%2BUj5a96Sx%2Fg0OV1sddWXj6TM%3D,,No,
GTS,GTS,null,Exterior Color,Exterior Color,Elite - Supernova Silver,No,Group 3,https://res.cloudinary.com/dsmkxcczo/image/upload/v1767852668/mclaren_cars/c5pbxfhwbyclqfp9i3rj.jpg,0,https://configurator-cdn.mclaren.com/mal-config-common/P22/paints/paint_ec0002e-40.png?sr=c&si=public&sig=Ta23Sl1xB46bHEq%2BBll%2BUj5a96Sx%2Fg0OV1sddWXj6TM%3D,,No,
GTS,GTS,null,Exterior Color,Exterior Color,Elite - Tanzanite Blue,No,Group 3,https://res.cloudinary.com/dsmkxcczo/image/upload/v1767852676/mclaren_cars/yqc4a8i1gen6umktedsp.jpg,0,https://configurator-cdn.mclaren.com/mal-config-common/P22/paints/paint_pc0135-40.png?sr=c&si=public&sig=Ta23Sl1xB46bHEq%2BBll%2BUj5a96Sx%2Fg0OV1sddWXj6TM%3D,,No,
GTS,GTS,null,Exterior Color,Exterior Color,Elite - Tempest Blue,No,Group 3,https://res.cloudinary.com/dsmkxcczo/image/upload/v1767852685/mclaren_cars/yjsxhpdz3wogtkrk0uwr.jpg,0,https://configurator-cdn.mclaren.com/mal-config-common/P22/paints/Paint_PC0143.png?sr=c&si=public&sig=Ta23Sl1xB46bHEq%2BBll%2BUj5a96Sx%2Fg0OV1sddWXj6TM%3D,,No,
GTS,GTS,null,Exterior Color,Exterior Color,Elite - Ventura Orange,No,Group 3,https://res.cloudinary.com/dsmkxcczo/image/upload/v1767852693/mclaren_cars/rsnj2wlx4asji7ugel9s.jpg,0,https://configurator-cdn.mclaren.com/mal-config-common/P22/paints/paint_ec0019e-40.png?sr=c&si=public&sig=Ta23Sl1xB46bHEq%2BBll%2BUj5a96Sx%2Fg0OV1sddWXj6TM%3D,,No,
GTS,GTS,null,Exterior Color,Exterior Color,Elite - Viridian,No,Group 3,https://res.cloudinary.com/dsmkxcczo/image/upload/v1767852701/mclaren_cars/lmyfnbblnhtkpvexza6n.jpg,0,https://configurator-cdn.mclaren.com/mal-config-common/P22/paints/paint_ec0049e-40.png?sr=c&si=public&sig=Ta23Sl1xB46bHEq%2BBll%2BUj5a96Sx%2Fg0OV1sddWXj6TM%3D,,No,
GTS,GTS,null,Exterior Color,Exterior Color,MSO - Abyss Black,No,Group 4,https://res.cloudinary.com/dsmkxcczo/image/upload/v1767852709/mclaren_cars/j2skaizp1lsoc9273evb.jpg,0,https://configurator-cdn.mclaren.com/mal-config-common/P22/paints/paint_mc0005e-40.png?sr=c&si=public&sig=Ta23Sl1xB46bHEq%2BBll%2BUj5a96Sx%2Fg0OV1sddWXj6TM%3D,,No,
GTS,GTS,null,Exterior Color,Exterior Color,MSO - Amethyst Black,No,Group 4,https://res.cloudinary.com/dsmkxcczo/image/upload/v1767852718/mclaren_cars/rfeqaymxznq9fxvlozz1.jpg,0,https://configurator-cdn.mclaren.com/mal-config-common/P22/paints/paint_mc0011e-40.png?sr=c&si=public&sig=Ta23Sl1xB46bHEq%2BBll%2BUj5a96Sx%2Fg0OV1sddWXj6TM%3D,,No,
GTS,GTS,null,Exterior Color,Exterior Color,MSO - Borealis,No,Group 4,https://res.cloudinary.com/dsmkxcczo/image/upload/v1767852726/mclaren_cars/nzbi0ls7mqbjwm4dbfwg.jpg,0,https://configurator-cdn.mclaren.com/mal-config-common/P22/paints/paint_mc0018e-40.png?sr=c&si=public&sig=Ta23Sl1xB46bHEq%2BBll%2BUj5a96Sx%2Fg0OV1sddWXj6TM%3D,,No,
GTS,GTS,null,Exterior Color,Exterior Color,MSO - Ceramic Grey,No,Group 4,https://res.cloudinary.com/dsmkxcczo/image/upload/v1767852735/mclaren_cars/dsjsubvbhjxklapvfomd.jpg,0,https://configurator-cdn.mclaren.com/mal-config-common/P22/paints/paint_mc0009e-40.png?sr=c&si=public&sig=Ta23Sl1xB46bHEq%2BBll%2BUj5a96Sx%2Fg0OV1sddWXj6TM%3D,,No,
GTS,GTS,null,Exterior Color,Exterior Color,MSO - Cirrus Grey,No,Group 4,https://res.cloudinary.com/dsmkxcczo/image/upload/v1767852743/mclaren_cars/e5cetedf6yfs6q1apdks.jpg,0,https://configurator-cdn.mclaren.com/mal-config-common/P22/paints/paint_pc0003-40.png?sr=c&si=public&sig=Ta23Sl1xB46bHEq%2BBll%2BUj5a96Sx%2Fg0OV1sddWXj6TM%3D,,No,
GTS,GTS,null,Exterior Color,Exterior Color,MSO - Helios Orange,No,Group 4,https://res.cloudinary.com/dsmkxcczo/image/upload/v1767852752/mclaren_cars/djctf3wsueswptiwwpt1.jpg,0,https://configurator-cdn.mclaren.com/mal-config-common/P22/paints/paint_mc0019e-40.png?sr=c&si=public&sig=Ta23Sl1xB46bHEq%2BBll%2BUj5a96Sx%2Fg0OV1sddWXj6TM%3D,,No,
GTS,GTS,null,Exterior Color,Exterior Color,MSO - Lantana Purple,No,Group 4,https://res.cloudinary.com/dsmkxcczo/image/upload/v1767852760/mclaren_cars/edt5zeatdesvtssmcu0w.jpg,0,https://configurator-cdn.mclaren.com/mal-config-common/P22/paints/paint_mc0007e-40.png?sr=c&si=public&sig=Ta23Sl1xB46bHEq%2BBll%2BUj5a96Sx%2Fg0OV1sddWXj6TM%3D,,No,
GTS,GTS,null,Exterior Color,Exterior Color,MSO - Lava Grey,No,Group 4,https://res.cloudinary.com/dsmkxcczo/image/upload/v1767852769/mclaren_cars/fslvp4fofhuga5l5ewzn.jpg,0,https://configurator-cdn.mclaren.com/mal-config-common/P22/paints/paint_pc0140-40.png?sr=c&si=public&sig=Ta23Sl1xB46bHEq%2BBll%2BUj5a96Sx%2Fg0OV1sddWXj6TM%3D,,No,
GTS,GTS,null,Exterior Color,Exterior Color,MSO - Ludus Blue,No,Group 4,https://res.cloudinary.com/dsmkxcczo/image/upload/v1767852777/mclaren_cars/e95ome5fb04kpy2s3uid.jpg,0,https://configurator-cdn.mclaren.com/mal-config-common/P22/paints/paint_pc0004-40.png?sr=c&si=public&sig=Ta23Sl1xB46bHEq%2BBll%2BUj5a96Sx%2Fg0OV1sddWXj6TM%3D,,No,
GTS,GTS,null,Exterior Color,Exterior Color,MSO - Paris Blue,No,Group 4,https://res.cloudinary.com/dsmkxcczo/image/upload/v1767852785/mclaren_cars/i8u87gt7hyw5bqvqknom.jpg,0,https://configurator-cdn.mclaren.com/mal-config-common/P22/paints/paint_mc0013e-40.png?sr=c&si=public&sig=Ta23Sl1xB46bHEq%2BBll%2BUj5a96Sx%2Fg0OV1sddWXj6TM%3D,,No,
GTS,GTS,null,Exterior Color,Exterior Color,MSO - Shibuya Spirit,No,Group 4,https://res.cloudinary.com/dsmkxcczo/image/upload/v1767852794/mclaren_cars/knzatkil6efaeswdswot.jpg,0,https://configurator-cdn.mclaren.com/mal-config-common/P22/paints/Paint_PC0144.png?sr=c&si=public&sig=Ta23Sl1xB46bHEq%2BBll%2BUj5a96Sx%2Fg0OV1sddWXj6TM%3D,,No,
GTS,GTS,null,Exterior Color,Exterior Color,MSO - Tokyo Cyan,No,Group 4,https://res.cloudinary.com/dsmkxcczo/image/upload/v1767852802/mclaren_cars/htfnn9axhnxdptqamkfd.jpg,0,https://configurator-cdn.mclaren.com/mal-config-common/P22/paints/paint_pc0115-40.png?sr=c&si=public&sig=Ta23Sl1xB46bHEq%2BBll%2BUj5a96Sx%2Fg0OV1sddWXj6TM%3D,,No,
GTS,GTS,null,Exterior Color,Exterior Color,MSO - Volcano Blue,No,Group 4,https://res.cloudinary.com/dsmkxcczo/image/upload/v1767852810/mclaren_cars/nxiv1cilmqljykbwuhuo.jpg,0,https://configurator-cdn.mclaren.com/mal-config-common/P22/paints/paint_pc0008-40.png?sr=c&si=public&sig=Ta23Sl1xB46bHEq%2BBll%2BUj5a96Sx%2Fg0OV1sddWXj6TM%3D,,No,
GTS,GTS,null,Exterior Color,Exterior Color,MSO - Volcano Yellow,No,Group 4,https://res.cloudinary.com/dsmkxcczo/image/upload/v1767852819/mclaren_cars/p3ghevny0jeayelm5qcs.jpg,0,https://configurator-cdn.mclaren.com/mal-config-common/P22/paints/paint_ec0007e-40.png?sr=c&si=public&sig=Ta23Sl1xB46bHEq%2BBll%2BUj5a96Sx%2Fg0OV1sddWXj6TM%3D,,No,
GTS,GTS,null,Wheel Style,Wheel Style,10 Twin-Spoke Forged Alloy Wheels,No,,,0,https://configurator-cdn.mclaren.com/mal-config-common/P22/P22_NEW_UI_2022/wheels/wheel-10spoke_lw-fin1.png?sr=c&si=public&sig=Ta23Sl1xB46bHEq%2BBll%2BUj5a96Sx%2Fg0OV1sddWXj6TM%3D,,Yes,
GTS,GTS,null,Wheel Style,Wheel Style,10-Spoke Turbine Forged Alloy Wheels,No,,,0,https://configurator-cdn.mclaren.com/mal-config-common/P22/P22_NEW_UI_2022/wheels/wheel-10spoke-tur-fin1.png?sr=c&si=public&sig=Ta23Sl1xB46bHEq%2BBll%2BUj5a96Sx%2Fg0OV1sddWXj6TM%3D,,No,
GTS,GTS,null,Wheel Finish,Wheel Finish,Silver,No,,,0,,,Yes,
GTS,GTS,null,Wheel Finish,Wheel Finish,Gloss Black Diamond Cut,No,,,0,,,No,
